timestamp,gpu_util_pct,mem_used_mib,power_w,temp_c
2026/04/25 11:29:16.357, 96, [N/A], 50.22, 66
2026/04/25 11:29:21.431, 96, [N/A], 53.74, 70
2026/04/25 11:29:26.537, 96, [N/A], 52.87, 72
2026/04/25 11:29:31.598, 96, [N/A], 52.91, 71
2026/04/25 11:29:36.707, 96, [N/A], 58.02, 71
2026/04/25 11:29:41.785, 96, [N/A], 59.44, 73
2026/04/25 11:29:46.829, 96, [N/A], 57.09, 73
2026/04/25 11:29:51.890, 94, [N/A], 36.14, 69
2026/04/25 11:29:56.957, 96, [N/A], 55.78, 71
2026/04/25 11:30:02.010, 96, [N/A], 55.22, 73
2026/04/25 11:30:07.082, 96, [N/A], 57.08, 73
2026/04/25 11:30:12.141, 96, [N/A], 56.80, 72
2026/04/25 11:30:17.254, 96, [N/A], 55.27, 75
2026/04/25 11:30:22.322, 96, [N/A], 56.05, 73
2026/04/25 11:30:27.374, 95, [N/A], 55.06, 71
2026/04/25 11:30:32.470, 96, [N/A], 54.60, 71
2026/04/25 11:30:37.530, 96, [N/A], 52.28, 71
2026/04/25 11:30:42.592, 96, [N/A], 51.85, 75
2026/04/25 11:30:47.653, 95, [N/A], 51.91, 76
2026/04/25 11:30:52.709, 95, [N/A], 50.91, 73
2026/04/25 11:30:57.748, 94, [N/A], 53.41, 68
2026/04/25 11:31:02.800, 95, [N/A], 57.20, 78
2026/04/25 11:31:07.833, 94, [N/A], 39.03, 70
2026/04/25 11:31:12.870, 95, [N/A], 57.69, 70
2026/04/25 11:31:17.931, 95, [N/A], 57.33, 73
2026/04/25 11:31:22.978, 95, [N/A], 57.81, 72
2026/04/25 11:31:28.032, 94, [N/A], 53.15, 75
2026/04/25 11:31:33.071, 94, [N/A], 53.43, 71
2026/04/25 11:31:38.109, 95, [N/A], 56.35, 73
2026/04/25 11:31:43.154, 95, [N/A], 56.97, 72
2026/04/25 11:31:48.210, 94, [N/A], 60.47, 72
2026/04/25 11:31:53.265, 95, [N/A], 58.46, 74
2026/04/25 11:31:58.317, 94, [N/A], 56.71, 73
2026/04/25 11:32:03.370, 95, [N/A], 54.06, 70
2026/04/25 11:32:08.431, 95, [N/A], 55.65, 71
2026/04/25 11:32:13.486, 94, [N/A], 59.95, 72
2026/04/25 11:32:18.531, 95, [N/A], 57.19, 74
2026/04/25 11:32:23.581, 94, [N/A], 50.99, 68
2026/04/25 11:32:28.640, 95, [N/A], 53.03, 68
2026/04/25 11:32:33.673, 95, [N/A], 55.83, 72
2026/04/25 11:32:38.730, 94, [N/A], 60.64, 73
2026/04/25 11:32:43.779, 95, [N/A], 58.13, 74
2026/04/25 11:32:48.848, 94, [N/A], 52.42, 68
2026/04/25 11:32:53.913, 95, [N/A], 55.90, 73
2026/04/25 11:32:58.952, 93, [N/A], 40.38, 71
2026/04/25 11:33:04.008, 94, [N/A], 53.18, 75
2026/04/25 11:33:09.069, 94, [N/A], 52.98, 76
2026/04/25 11:33:14.127, 94, [N/A], 51.20, 68
2026/04/25 11:33:19.187, 95, [N/A], 53.67, 73
2026/04/25 11:33:24.247, 94, [N/A], 53.27, 72
2026/04/25 11:33:29.300, 94, [N/A], 52.98, 71
2026/04/25 11:33:34.348, 95, [N/A], 52.99, 72
2026/04/25 11:33:39.408, 94, [N/A], 51.98, 75
2026/04/25 11:33:44.458, 95, [N/A], 50.70, 67
2026/04/25 11:33:49.532, 95, [N/A], 51.98, 68
2026/04/25 11:33:54.577, 95, [N/A], 53.74, 69
2026/04/25 11:33:59.637, 95, [N/A], 55.02, 75
2026/04/25 11:34:04.685, 95, [N/A], 53.46, 74
2026/04/25 11:34:09.743, 95, [N/A], 53.53, 72
2026/04/25 11:34:14.808, 95, [N/A], 53.10, 77
2026/04/25 11:34:19.943, 47, [N/A], 31.06, 65
2026/04/25 11:34:25.116, 95, [N/A], 54.72, 73
2026/04/25 11:34:30.153, 94, [N/A], 54.11, 73
2026/04/25 11:34:35.214, 94, [N/A], 54.97, 71
2026/04/25 11:34:40.268, 94, [N/A], 54.08, 71
2026/04/25 11:34:45.329, 95, [N/A], 53.00, 71
2026/04/25 11:34:50.391, 94, [N/A], 52.78, 71
2026/04/25 11:34:55.438, 94, [N/A], 53.44, 70
2026/04/25 11:35:00.492, 95, [N/A], 54.26, 71
2026/04/25 11:35:05.562, 95, [N/A], 54.30, 71
2026/04/25 11:35:10.618, 94, [N/A], 54.57, 71
2026/04/25 11:35:15.674, 94, [N/A], 54.69, 72
2026/04/25 11:35:20.733, 94, [N/A], 56.63, 72
2026/04/25 11:35:25.812, 94, [N/A], 55.15, 72
2026/04/25 11:35:30.857, 95, [N/A], 53.53, 72
2026/04/25 11:35:35.903, 95, [N/A], 53.34, 73
2026/04/25 11:35:40.938, 94, [N/A], 49.73, 75
2026/04/25 11:35:46.033, 94, [N/A], 57.00, 72
2026/04/25 11:35:51.069, 95, [N/A], 56.53, 73
2026/04/25 11:35:56.106, 95, [N/A], 54.03, 73
2026/04/25 11:36:01.157, 95, [N/A], 53.11, 67
2026/04/25 11:36:06.205, 94, [N/A], 57.36, 73
2026/04/25 11:36:11.261, 95, [N/A], 56.06, 72
2026/04/25 11:36:16.328, 94, [N/A], 54.85, 72
2026/04/25 11:36:21.377, 94, [N/A], 55.49, 73
2026/04/25 11:36:26.430, 95, [N/A], 54.31, 74
2026/04/25 11:36:31.478, 95, [N/A], 56.58, 76
2026/04/25 11:36:36.517, 94, [N/A], 53.84, 70
2026/04/25 11:36:41.573, 95, [N/A], 55.74, 72
2026/04/25 11:36:46.621, 94, [N/A], 53.67, 71
2026/04/25 11:36:51.664, 95, [N/A], 57.47, 72
2026/04/25 11:36:56.725, 94, [N/A], 54.25, 72
2026/04/25 11:37:01.827, 15, [N/A], 38.77, 66
2026/04/25 11:37:06.885, 95, [N/A], 53.91, 68
2026/04/25 11:37:11.998, 94, [N/A], 52.53, 71
2026/04/25 11:37:17.050, 95, [N/A], 46.82, 72
2026/04/25 11:37:22.111, 95, [N/A], 47.55, 69
2026/04/25 11:37:27.182, 95, [N/A], 46.50, 69
2026/04/25 11:37:32.261, 96, [N/A], 46.57, 71
2026/04/25 11:37:37.312, 95, [N/A], 46.05, 70
2026/04/25 11:37:42.371, 95, [N/A], 46.05, 69
2026/04/25 11:37:47.441, 95, [N/A], 45.95, 69
2026/04/25 11:37:52.481, 95, [N/A], 46.74, 67
2026/04/25 11:37:57.538, 95, [N/A], 46.31, 68
2026/04/25 11:38:02.624, 94, [N/A], 45.96, 68
2026/04/25 11:38:07.655, 94, [N/A], 36.80, 67
2026/04/25 11:38:12.693, 95, [N/A], 31.13, 63
2026/04/25 11:38:17.755, 95, [N/A], 50.05, 70
2026/04/25 11:38:22.817, 95, [N/A], 53.93, 69
2026/04/25 11:38:27.871, 95, [N/A], 52.04, 68
2026/04/25 11:38:32.934, 95, [N/A], 53.08, 72
2026/04/25 11:38:37.988, 95, [N/A], 54.03, 72
2026/04/25 11:38:43.048, 95, [N/A], 60.87, 68
2026/04/25 11:38:48.118, 95, [N/A], 57.85, 71
2026/04/25 11:38:53.197, 95, [N/A], 59.31, 75
2026/04/25 11:38:58.247, 94, [N/A], 53.33, 71
2026/04/25 11:39:03.303, 95, [N/A], 59.99, 75
2026/04/25 11:39:08.358, 94, [N/A], 57.82, 70
2026/04/25 11:39:13.403, 94, [N/A], 55.73, 71
2026/04/25 11:39:18.441, 94, [N/A], 52.92, 67
2026/04/25 11:39:23.494, 95, [N/A], 59.54, 73
2026/04/25 11:39:28.550, 95, [N/A], 61.74, 72
2026/04/25 11:39:33.613, 94, [N/A], 57.51, 72
2026/04/25 11:39:38.685, 95, [N/A], 56.40, 71
2026/04/25 11:39:43.752, 94, [N/A], 54.95, 75
2026/04/25 11:39:48.817, 94, [N/A], 54.77, 70
2026/04/25 11:39:53.889, 95, [N/A], 56.39, 72
2026/04/25 11:39:58.947, 95, [N/A], 57.21, 73
2026/04/25 11:40:03.998, 94, [N/A], 60.84, 71
2026/04/25 11:40:09.045, 94, [N/A], 58.01, 73
2026/04/25 11:40:14.089, 94, [N/A], 56.67, 75
2026/04/25 11:40:19.131, 94, [N/A], 61.18, 71
2026/04/25 11:40:24.182, 95, [N/A], 62.08, 75
2026/04/25 11:40:29.231, 94, [N/A], 36.66, 70
2026/04/25 11:40:34.279, 95, [N/A], 52.88, 76
2026/04/25 11:40:39.327, 95, [N/A], 57.07, 72
2026/04/25 11:40:44.364, 95, [N/A], 51.76, 70
2026/04/25 11:40:49.404, 95, [N/A], 55.36, 72
2026/04/25 11:40:54.463, 96, [N/A], 55.10, 73
2026/04/25 11:40:59.533, 96, [N/A], 54.66, 73
2026/04/25 11:41:04.612, 95, [N/A], 52.20, 71
2026/04/25 11:41:09.691, 95, [N/A], 53.45, 73
2026/04/25 11:41:14.741, 95, [N/A], 52.14, 72
2026/04/25 11:41:19.797, 96, [N/A], 52.58, 72
2026/04/25 11:41:24.860, 96, [N/A], 52.39, 69
2026/04/25 11:41:29.940, 95, [N/A], 51.13, 69
2026/04/25 11:41:35.006, 96, [N/A], 53.51, 69
2026/04/25 11:41:40.059, 96, [N/A], 55.48, 73
2026/04/25 11:41:45.097, 96, [N/A], 55.92, 71
2026/04/25 11:41:50.143, 95, [N/A], 31.85, 70
2026/04/25 11:41:55.198, 96, [N/A], 56.34, 70
2026/04/25 11:42:00.260, 96, [N/A], 58.22, 72
